model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
qwen2.5:14b,secret,plain,negative - neutral,-0.08888888888888888,-0.1888888888888889,0.011111111111111106,0.15998400159984003,True,0.31996800319968005
qwen2.5:14b,secret,plain,positive - negative,-0.011111111111111112,-0.07777777777777778,0.06666666666666667,1.0,True,1.0
qwen2.5:14b,secret,plain,neutral - none,-0.03333333333333334,-0.12222222222222225,0.044722222222218194,0.6441355864413558,False,
qwen2.5:14b,xstest_safe,leveraged,positive - neutral,0.006666666666666665,-0.023333333333333334,0.04,0.8455154484551545,False,
qwen2.5:14b,xstest_safe,leveraged,negative - neutral,-0.056666666666666664,-0.09666666666666668,-0.023333333333333334,0.0020997900209979003,False,
qwen2.5:14b,xstest_safe,leveraged,positive - negative,0.06333333333333334,0.03,0.10333333333333332,0.0007999200079992001,False,
qwen2.5:14b,xstest_safe,plain,positive - neutral,-0.010000000000000002,-0.030000000000000006,0.006666666666666666,0.5207479252074793,True,0.5207479252074793
qwen2.5:14b,xstest_safe,plain,negative - neutral,-0.04666666666666667,-0.08333333333333334,-0.016666666666666666,0.011498850114988501,True,0.0344965503449655
qwen2.5:14b,xstest_safe,plain,positive - negative,0.036666666666666674,0.01,0.06666666666666667,0.024797520247975203,True,0.049595040495950406
qwen2.5:14b,xstest_safe,plain,neutral - none,0.006666666666666667,-0.01,0.02666666666666667,0.748025197480252,False,
qwen2.5:14b,xstest_unsafe,leveraged,positive - neutral,0.024305555555555563,0.006944444444444444,0.04861111111111111,0.0648935106489351,False,
qwen2.5:14b,xstest_unsafe,leveraged,negative - neutral,0.006944444444444445,-0.020833333333333332,0.03472222222222223,1.0,False,
qwen2.5:14b,xstest_unsafe,leveraged,positive - negative,0.017361111111111112,-0.010416666666666666,0.04861111111111111,0.37176282371762825,False,
qwen2.5:14b,xstest_unsafe,plain,positive - neutral,-0.0034722222222222207,-0.024305555555555552,0.017361111111111115,1.0,True,1.0
qwen2.5:14b,xstest_unsafe,plain,negative - neutral,-0.01388888888888889,-0.04513888888888889,0.010416666666666666,0.5047495250474953,True,1.0
qwen2.5:14b,xstest_unsafe,plain,positive - negative,0.010416666666666666,-0.006944444444444445,0.034722222222222224,0.75002499750025,True,1.0
qwen2.5:14b,xstest_unsafe,plain,neutral - none,0.0034722222222222225,-0.027777777777777776,0.03472222222222223,1.0,False,
qwen3-vl:8b-instruct,secret,leveraged,positive - neutral,-0.14444444444444446,-0.26666666666666666,-0.02222222222222224,0.0420957904209579,False,
qwen3-vl:8b-instruct,secret,leveraged,negative - neutral,0.2,0.06666666666666665,0.32222222222222224,0.010498950104989501,False,
qwen3-vl:8b-instruct,secret,leveraged,positive - negative,-0.34444444444444444,-0.45555555555555555,-0.23333333333333328,9.999000099990002e-05,False,
qwen3-vl:8b-instruct,secret,plain,positive - neutral,-0.01111111111111111,-0.08888888888888889,0.07777777777777777,1.0,True,1.0
