model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama31_8b_128k,secret,plain,f050,pasted,negative - neutral,0.2,0.0,0.4,0.11248875112488751,True,0.3374662533746625
llama31_8b_128k,secret,plain,f050,pasted,positive - negative,-0.13333333333333333,-0.3333333333333333,0.06666666666666667,0.33996600339966004,True,0.6799320067993201
llama31_8b_128k,secret,plain,f050,pasted,neutral - none,0.3,0.03333333333333333,0.5333333333333333,0.047495250474952504,False,
llama31_8b_128k,secret,plain,f050,turns,positive - neutral,-0.23333333333333334,-0.43333333333333335,-0.03333333333333333,0.06679332066793321,True,0.20037996200379965
llama31_8b_128k,secret,plain,f050,turns,negative - neutral,-0.1,-0.3333333333333333,0.1,0.5422457754224578,True,0.5422457754224578
llama31_8b_128k,secret,plain,f050,turns,positive - negative,-0.13333333333333333,-0.3,0.0,0.21287871212878712,True,0.42575742425757424
llama31_8b_128k,secret,plain,f050,turns,neutral - none,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.034996500349965,False,
llama31_8b_128k,secret,plain,f100,pasted,positive - neutral,-0.13333333333333333,-0.3333333333333333,0.03333333333333333,0.29717028297170284,True,0.8915108489151085
llama31_8b_128k,secret,plain,f100,pasted,negative - neutral,0.0,-0.23333333333333334,0.23333333333333334,1.0,True,1.0
llama31_8b_128k,secret,plain,f100,pasted,positive - negative,-0.13333333333333333,-0.36666666666666664,0.1,0.42785721427857215,True,0.8915108489151085
llama31_8b_128k,secret,plain,f100,pasted,neutral - none,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.013298670132986702,False,
llama31_8b_128k,secret,plain,f100,turns,positive - neutral,-0.1,-0.3,0.1,0.5073492650734927,True,1.0
llama31_8b_128k,secret,plain,f100,turns,negative - neutral,0.03333333333333333,-0.16666666666666666,0.23333333333333334,1.0,True,1.0
llama31_8b_128k,secret,plain,f100,turns,positive - negative,-0.13333333333333333,-0.3,0.0,0.21457854214578542,True,0.6437356264373563
llama31_8b_128k,secret,plain,f100,turns,neutral - none,0.06666666666666667,-0.2,0.3333333333333333,0.8045195480451954,False,
llama31_8b_128k,xstest_unsafe,plain,f025,pasted,positive - neutral,-0.041666666666666664,-0.10416666666666667,0.0,0.49175082491750827,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f025,pasted,negative - neutral,0.0,-0.0625,0.0625,1.0,True,1.0
