model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,secret,plain,f025,pasted,negative - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.6247375262473752,True,1.0
dolphin3_8b_128k,secret,plain,f025,pasted,positive - negative,-0.03333333333333333,-0.16666666666666666,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,pasted,neutral - none,0.2,0.06666666666666667,0.36666666666666664,0.034096590340965904,False,
dolphin3_8b_128k,secret,plain,f025,turns,positive - neutral,-0.1,-0.23333333333333334,0.03333333333333333,0.3695630436956304,True,1.0
dolphin3_8b_128k,secret,plain,f025,turns,negative - neutral,-0.1,-0.23333333333333334,0.03333333333333333,0.36896310368963103,True,1.0
dolphin3_8b_128k,secret,plain,f025,turns,positive - negative,0.0,-0.16666666666666666,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,turns,neutral - none,0.2,0.0,0.4,0.10978902109789021,False,
dolphin3_8b_128k,secret,plain,f050,pasted,positive - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.6173382661733826,True,1.0
dolphin3_8b_128k,secret,plain,f050,pasted,negative - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.622937706229377,True,1.0
dolphin3_8b_128k,secret,plain,f050,pasted,positive - negative,0.0,-0.13333333333333333,0.13333333333333333,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f050,pasted,neutral - none,0.16666666666666666,0.0,0.3333333333333333,0.12148785121487851,False,
dolphin3_8b_128k,secret,plain,f050,turns,positive - neutral,0.1,-0.03333333333333333,0.23333333333333334,0.37746225377462256,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,negative - neutral,0.06666666666666667,-0.13333333333333333,0.26666666666666666,0.7482251774822518,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,positive - negative,0.03333333333333333,-0.13333333333333333,0.2,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,neutral - none,0.0,-0.23333333333333334,0.23333333333333334,1.0,False,
dolphin3_8b_128k,secret,plain,f100,pasted,positive - neutral,0.03333333333333333,-0.06666666666666667,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,pasted,negative - neutral,0.13333333333333333,0.0,0.3,0.22207779222077792,True,0.6662333766623337
dolphin3_8b_128k,secret,plain,f100,pasted,positive - negative,-0.1,-0.2,0.0,0.2445755424457554,True,0.6662333766623337
dolphin3_8b_128k,secret,plain,f100,pasted,neutral - none,-0.7,-0.8666666666666667,-0.5333333333333333,9.999000099990002e-05,False,
dolphin3_8b_128k,secret,plain,f100,turns,positive - neutral,0.03333333333333333,0.0,0.1,1.0,True,1.0
